source_trip_type,destination_trip_type,source_column_name,destination_column_name,dtype,sample_value
yellow,green,DOLocationID,DOLocationID,int32,41
yellow,green,PULocationID,PULocationID,int32,166
yellow,green,RatecodeID,RatecodeID,int64,1
yellow,green,VendorID,VendorID,int32,2
yellow,green,cbd_congestion_fee,cbd_congestion_fee,double,0
yellow,green,congestion_surcharge,congestion_surcharge,double,0
yellow,green,extra,extra,double,1
yellow,green,fare_amount,fare_amount,double,6.5
yellow,green,improvement_surcharge,improvement_surcharge,double,1
yellow,green,tpep_dropoff_datetime,lpep_dropoff_datetime,timestamp[us],45689.01097222222
yellow,green,tpep_pickup_datetime,lpep_pickup_datetime,timestamp[us],45689.00850694445
yellow,green,mta_tax,mta_tax,double,0.5
yellow,green,passenger_count,passenger_count,int64,1
yellow,green,payment_type,payment_type,int64,1
yellow,green,store_and_fwd_flag,store_and_fwd_flag,large_string,N
yellow,green,tip_amount,tip_amount,double,1.8
yellow,green,tolls_amount,tolls_amount,double,0
yellow,green,total_amount,total_amount,double,10.8
yellow,green,trip_distance,trip_distance,double,0.65
yellow,fhv,DOLocationID,DOlocationID,int64,14
yellow,fhv,PULocationID,PUlocationID,int64,88
yellow,fhv,tpep_dropoff_datetime,dropOff_datetime,timestamp[us],45689.02291666667
yellow,fhv,tpep_pickup_datetime,pickup_datetime,timestamp[us],45689
yellow,fhvhv,DOLocationID,DOLocationID,int32,213
yellow,fhvhv,PULocationID,PULocationID,int32,81
yellow,fhvhv,Airport_fee,airport_fee,double,0
yellow,fhvhv,cbd_congestion_fee,cbd_congestion_fee,double,0
yellow,fhvhv,congestion_surcharge,congestion_surcharge,double,0
yellow,fhvhv,tpep_dropoff_datetime,dropoff_datetime,timestamp[us],45627.03125
yellow,fhvhv,tpep_pickup_datetime,pickup_datetime,timestamp[us],45627.02104166667
green,yellow,DOLocationID,DOLocationID,int32,79
green,yellow,PULocationID,PULocationID,int32,246
green,yellow,RatecodeID,RatecodeID,int64,1
green,yellow,VendorID,VendorID,int32,2
green,yellow,cbd_congestion_fee,cbd_congestion_fee,double,0.75
green,yellow,congestion_surcharge,congestion_surcharge,double,2.5
green,yellow,extra,extra,double,1
green,yellow,fare_amount,fare_amount,double,19.8
green,yellow,improvement_surcharge,improvement_surcharge,double,1
green,yellow,mta_tax,mta_tax,double,0.5
green,yellow,passenger_count,passenger_count,int64,3
green,yellow,payment_type,payment_type,int64,1
green,yellow,store_and_fwd_flag,store_and_fwd_flag,large_string,N
green,yellow,tip_amount,tip_amount,double,5.11
green,yellow,tolls_amount,tolls_amount,double,0
green,yellow,total_amount,total_amount,double,30.66
green,yellow,lpep_dropoff_datetime,tpep_dropoff_datetime,timestamp[us],45689.02260416667
green,yellow,lpep_pickup_datetime,tpep_pickup_datetime,timestamp[us],45689.00854166667
green,yellow,trip_distance,trip_distance,double,3.12
green,fhv,DOLocationID,DOlocationID,int64,14
green,fhv,PULocationID,PUlocationID,int64,88
green,fhv,lpep_dropoff_datetime,dropOff_datetime,timestamp[us],45689.02291666667
green,fhv,lpep_pickup_datetime,pickup_datetime,timestamp[us],45689
green,fhvhv,DOLocationID,DOLocationID,int32,213
green,fhvhv,PULocationID,PULocationID,int32,81
green,fhvhv,cbd_congestion_fee,cbd_congestion_fee,double,0
green,fhvhv,congestion_surcharge,congestion_surcharge,double,0
green,fhvhv,lpep_dropoff_datetime,dropoff_datetime,timestamp[us],45627.03125
green,fhvhv,lpep_pickup_datetime,pickup_datetime,timestamp[us],45627.02104166667
fhv,yellow,DOlocationID,DOLocationID,int32,79
fhv,yellow,PUlocationID,PULocationID,int32,246
fhv,yellow,dropOff_datetime,tpep_dropoff_datetime,timestamp[us],45689.02260416667
fhv,yellow,pickup_datetime,tpep_pickup_datetime,timestamp[us],45689.00854166667
fhv,green,DOlocationID,DOLocationID,int32,41
fhv,green,PUlocationID,PULocationID,int32,166
fhv,green,dropOff_datetime,lpep_dropoff_datetime,timestamp[us],45689.01097222222
fhv,green,pickup_datetime,lpep_pickup_datetime,timestamp[us],45689.00850694445
fhv,fhvhv,DOlocationID,DOLocationID,int32,213
fhv,fhvhv,PUlocationID,PULocationID,int32,81
fhv,fhvhv,dispatching_base_num,dispatching_base_num,large_string,B03404
fhv,fhvhv,dropOff_datetime,dropoff_datetime,timestamp[us],45627.03125
fhv,fhvhv,pickup_datetime,pickup_datetime,timestamp[us],45627.02104166667
fhvhv,yellow,airport_fee,Airport_fee,double,0
fhvhv,yellow,DOLocationID,DOLocationID,int32,79
fhvhv,yellow,PULocationID,PULocationID,int32,246
fhvhv,yellow,cbd_congestion_fee,cbd_congestion_fee,double,0.75
fhvhv,yellow,congestion_surcharge,congestion_surcharge,double,2.5
fhvhv,yellow,dropoff_datetime,tpep_dropoff_datetime,timestamp[us],45689.02260416667
fhvhv,yellow,pickup_datetime,tpep_pickup_datetime,timestamp[us],45689.00854166667
fhvhv,green,DOLocationID,DOLocationID,int32,41
fhvhv,green,PULocationID,PULocationID,int32,166
fhvhv,green,cbd_congestion_fee,cbd_congestion_fee,double,0
fhvhv,green,congestion_surcharge,congestion_surcharge,double,0
fhvhv,green,dropoff_datetime,lpep_dropoff_datetime,timestamp[us],45689.01097222222
fhvhv,green,pickup_datetime,lpep_pickup_datetime,timestamp[us],45689.00850694445
fhvhv,fhv,DOLocationID,DOlocationID,int64,14
fhvhv,fhv,PULocationID,PUlocationID,int64,88
fhvhv,fhv,dispatching_base_num,dispatching_base_num,large_string,B00014
fhvhv,fhv,dropoff_datetime,dropOff_datetime,timestamp[us],45689.02291666667
fhvhv,fhv,pickup_datetime,pickup_datetime,timestamp[us],45689
