canonical_column,fhv,fhvhv,green,yellow
access_a_ride_flag,False,True,False,False
affiliated_base_number,True,False,False,False
airport_fee,False,True,False,True
base_passenger_fare,False,True,False,False
bcf,False,True,False,False
cbd_congestion_fee,False,True,True,True
congestion_surcharge,False,True,True,True
dispatching_base_num,True,True,False,False
do_location_id,True,True,True,True
driver_pay,False,True,False,False
dropoff_datetime,True,True,True,True
ehail_fee,False,False,True,False
extra,False,False,True,True
fare_amount,False,False,True,True
hvfhs_license_num,False,True,False,False
improvement_surcharge,False,False,True,True
mta_tax,False,False,True,True
on_scene_datetime,False,True,False,False
originating_base_num,False,True,False,False
passenger_count,False,False,True,True
payment_type,False,False,True,True
pickup_datetime,True,True,True,True
pu_location_id,True,True,True,True
rate_code_id,False,False,True,True
request_datetime,False,True,False,False
sales_tax,False,True,False,False
shared_match_flag,False,True,False,False
shared_request_flag,False,True,False,False
sr_flag,True,False,False,False
store_and_fwd_flag,False,False,True,True
tip_amount,False,False,True,True
tips,False,True,False,False
tolls,False,True,False,False
tolls_amount,False,False,True,True
total_amount,False,False,True,True
trip_distance,False,False,True,True
trip_miles,False,True,False,False
trip_time,False,True,False,False
trip_type,False,False,True,False
vendor_id,False,False,True,True
wav_match_flag,False,True,False,False
wav_request_flag,False,True,False,False
